country,psychiatrists_working_in_mental_health_sector_(per_100_000_population)_2017,psychiatrists_working_in_mental_health_sector_(per_100_000_population)_2016,psychiatrists_working_in_mental_health_sector_(per_100_000_population)_2015,psychiatrists_working_in_mental_health_sector_(per_100_000_population)_2014,psychiatrists_working_in_mental_health_sector_(per_100_000_population)_2013,nurses_working_in_mental_health_sector_(per_100_000_population)_2017,nurses_working_in_mental_health_sector_(per_100_000_population)_2016,nurses_working_in_mental_health_sector_(per_100_000_population)_2015,nurses_working_in_mental_health_sector_(per_100_000_population)_2013,social_workers_working_in_mental_health_sector_(per_100_000_population)_2017,social_workers_working_in_mental_health_sector_(per_100_000_population)_2016,social_workers_working_in_mental_health_sector_(per_100_000_population)_2015,social_workers_working_in_mental_health_sector_(per_100_000_population)_2014,social_workers_working_in_mental_health_sector_(per_100_000_population)_2013,psychologists_working_in_mental_health_sector_(per_100_000_population)_2017,psychologists_working_in_mental_health_sector_(per_100_000_population)_2016,psychologists_working_in_mental_health_sector_(per_100_000_population)_2015,psychologists_working_in_mental_health_sector_(per_100_000_population)_2014,psychologists_working_in_mental_health_sector_(per_100_000_population)_2013
Russian Federation,,,8.479,,,,,,,,,2.404,,,,,4.638,,
Rwanda,,0.06,,,,,1.376,,,,0.172,,,,,0.387,,,
Saint Kitts and Nevis,5.526,,,,,,,,,,,,,,,,,,
Saint Lucia,,0.564,,,,,50.788,,,,0.564,,,,,,,,
Saint Vincent and the Grenadines,,,,,,4.568,,,,1.827,,,,,1.827,,,,
Samoa,,1.548,,,,,1.548,,,,1.548,,,,,,,,
Sao Tome and Principe,,0.511,,,,,4.602,,,,0.511,,,,,3.068,,,
Saudi Arabia,,1.321,,,,,10.66,,,,3.955,,,,,2.034,,,
Senegal,,0.2,,,,,0.267,,,,0.067,,,,,0.02,,,
Serbia,8.643,,,,,13.173,,,,0.362,,,,,4.553,,,,
Seychelles,,2.134,,,,,8.534,,,,,,,,,3.2,,,
Sierra Leone,0.041,,,,,0.332,,,,0.028,,,,,0.028,,,,
Singapore,,4.191,,,,,,,,,,,,,,,,,
Slovenia,,11.953,,,,,36.727,,,,1.976,,,,,9.302,,,
South Africa,,1.521,,,,,,,,,,,,,,,,,
South Sudan,,0.025,,,,,0.017,,,,,,,,,0.261,,,
Spain,,,9.694,,,,,2.873,,,,0.114,,,,,,,
Sri Lanka,0.517,,,,,3.278,,,,0.285,,,,,0.246,,,,
Sudan,,,0.08,,,,,,,,,0.551,,,,,,,
Suriname,,1.265,,,,,16.63,,,,0.362,,,,,0.542,,,
Sweden,,20.863,,,,,50.566,,,,,,,,,,,,
Switzerland,,,43.956,,,,,92.659,,,,,,,,,84.137,,
Syrian Arab Republic,,0.368,,,,,1.068,,,,0.801,,,,,1.068,,,
Tajikistan,,1.392,,,,,1.497,,,,,,,,,,,,
Thailand,,0.721,,,,,7.418,,,,0.836,,,,,1.749,,,
Timor-Leste,,0.081,,,,,1.37,,,,1.612,,,,,0.081,,,
Togo,,0.054,,,,,0.27,,,,0.054,,,,,0.404,,,
Tonga,,2.821,,,,,16.923,,,,,,,,,1.88,,,
Tunisia,,,,,,0.195,,,,,,,,,0.009,,,,
Türkiye,,1.637,,,,,150.251,,,,1.643,,,,,2.537,,,
Uganda,,0.082,,,,,2.242,,,,0.037,,,,,0.037,,,
Ukraine,,6.93,,,,,,,,,,,,,,,,,
United Arab Emirates,,1.649,,,,,4.37,,,,0.36,,,,,0.765,,,
United Republic of Tanzania,,,0.056,,,,,0.362,,,,0.065,,,,,0.009,,
United States of America,,10.542,,,,,4.283,,,,60.338,,,,,29.864,,,
Uruguay,,14.134,,,,,,,,,,,,,,,,,
Uzbekistan,,2.612,,,,,9.214,,,,,,,,,0.09,,,
Vanuatu,,0.378,,,,,4.535,,,,0.378,,,,,0.756,,,
Yemen,,0.201,,,,,0.323,,,,0.056,,,,,0.409,,,
Zambia,,0.056,,,,,1.429,,,,0.019,,,,,0.031,,,
Zimbabwe,,0.095,,,,,3.486,,,,0.634,,,,,0.057,,,
